Ngày,Loại,Hạng mục,Diễn giải,Số tiền,Người thực hiện,Đối tượng,Dạng đối tượng,Tài khoản,Tài khoản liên quan,Mã giao dịch,Chứng từ
11/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Sushi mực ống 8g + Mực Nang sushi Sashimi đông khay (200g/ khay) + Mực Nang sushi Sashimi (160g/ khay),23.620.800,Trang,CT GO FOOD - KIÊN GIANG (MR CÔNG),NCC,TK Nợ NCC,,20251011-036,
11/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi (hàng đỏ) + Bạch tuộc tươi,34.090.500,Trang,NCC BÉ TÂN - VĨNH LƯƠNG,NCC,TK Nợ NCC,,20251011-037,
11/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Bạch tuộc tươi (hàng đỏ) + Bạch tuộc tươi,87.487.000,Trang,NCC CHỊ HOA - HÒN RỚ,NCC,TK Nợ NCC,,20251011-038,
11/10/2025,Nợ NCC,Chi phí nguyên vật liệu,Nhập hàng Nhum hũ,31.000.000,Trang,NCC NHUM - ĐỖ THỊ ÁNH - PHÚ QUÝ,NCC,TK Nợ NCC,,20251011-039,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Trứng Nhum AA 200g/khay,750.000,Trang,CT ANH VŨ - HN (C HƯƠNG),NPP,TK KN,,20251011-040,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna Saku A,2.047.500,Trang,CT TNHH ĐT NGỌC THỊNH PHÁT (MR TÌNH),NH,TK KN,,20251011-041,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna Saku A,2.000.000,Trang,HKD Y SA BI (MS GIA HÂN- TRÀ VINH),NH,TK KN,,20251011-042,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc tako + Tuna Saku A + Cá Cờ Kiếm Saku + Nang roll,3.341.400,Trang,CT TNHH NH NAM SAN F&B (SUSHI NOWZOON),NH,TK KN,,20251011-043,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc tako,5.301.000,Trang,CT DELMAR VN - (C HƯƠNG VOV),KL,TK KN,,20251011-044,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Trứng Nhum AA 200g/khay,810.000,Trang,MR LEE MINH HEO - HN,KL,TK KN,,20251011-045,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Cá Chim Vây Vàng,258.300,Trang,MITSUBITSHI - HN,KL,TK KN,,20251011-046,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna Saku A,3.900.000,Trang,MR HỢP - ĐÀ NẴNG,KL,TK KN,,20251011-047,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Mùn Cưa,352.000,Trang,MR ĐỊNH- NHA TRANG,KL,TK KN,,20251011-048,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Tako mix,1.300.000,Trang,MR HẢI TRIỀU - Q10 - SG,KL,TK KN,,20251011-049,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc LSNC 30-50 + Tuna Saku A,1.150.000,Trang,NH UNI SUSHI,NH,TK KN,,20251011-050,
11/10/2025,KN,Doanh thu bán hàng,Giao hàng phí vận chuyển + Loin kiếm,3.927.000,Trang,CT TNHH UMEYAKIA (MR NHÂN- THE VIEW ĐÀ NẴNG),NH,TK KN,,20251011-051,
10/10/2025,Thu,Doanh thu Bán hàng,Mr Hải thanh toán công nợ,2.161.800,Trang,MR HẢI- HN,KL,Tk Ngợi,,20251010-001,
10/10/2025,Thu,Doanh thu Bán hàng,Meat &Fish TT công nợ tháng 9,41.272.380,Hoàn,CT TNHH MEAT AND FISH,NPP,TCB CTY,,20251010-002,
10/10/2025,Thu,Doanh thu Bán hàng,ANH THÁI thanh toán công nợ,666.600,Trang,MR THÁI - HN,KL,Tk Ngợi,,20251010-003,
10/10/2025,Thu,Doanh thu Bán hàng,Mr Toàn TT Công nợ,6.350.000,Hoàn,MR TOÀN - ĐÀ NẴNG,KL,Tiền mặt,,20251010-004,
10/10/2025,Thu,Doanh thu Bán hàng,Thu Greengood thanh toán công nợ,31.093.000,Trang,CT GREENGOOD,NPP,Tiền mặt,,20251010-005,
10/10/2025,Chi,Chi phí nguyên vật liệu,TT công nợ chả cá Trí,31.093.000,Trang,NCC CHẢ CÁ - TRÍ - Py,NCC,Tiền mặt,,20251010-006,
10/10/2025,Chi,Chi phí nguyên vật liệu,TT công nợ Mr Trí chả cá PY,6.350.000,Hoàn,NCC CHẢ CÁ - TRÍ - Py,NCC,Tiền mặt,,20251010-007,
10/10/2025,Chi,Chi phí nguyên vật liệu,Thanh toán công nợ ncc Quanh Bùi nhum đen,1.700.000,Trang,NCC NHUM ĐEN - QUANH BÙI,NCC,Tiền mặt,,20251010-008,
10/10/2025,Chi,Vận chuyển,Thanh toán tiền grab A Trãi 6 đơn,420.000,Trang,Khác,Khác,Tiền mặt,,20251010-009,
10/10/2025,Chi,Chi phí nguyên vật liệu,Nhận 2 thùng loin kiếm Thúy gửi,300.000,Trang,Khác,Khác,Tiền mặt,,20251010-010,
10/10/2025,Chi,Chi phí nguyên vật liệu,Nhận 1 thùng bt A Tới phú quý gửi (tối ngày 9/10),200.000,Trang,Khác,Khác,Tiền mặt,,20251010-011,
10/10/2025,Chi,Chi phí Sản xuất chung,Mua 15 bao đá bi ngày 9/10 + 15 bao ngày 10/10,805.000,Trang,Khác,Khác,Tiền mặt,,20251010-012,
10/10/2025,Chi,Chi phí nguyên vật liệu,Nhận 2 thùng nhum nguyên con chị Phúc Bình Thuận về (1600 con),200.000,Trang,Khác,Khác,Tiền mặt,,20251010-013,
10/10/2025,Chi,Chi phí nguyên vật liệu,Nhận 2 thùng tuna saku + kiếm steak Trường gửi,160.000,Trang,Khác,Khác,Tiền mặt,,20251010-014,
10/10/2025,Chi,Chi phí Sản xuất chung,Mua nhớt máy hck,120.000,Trang,Khác,Khác,Tiền mặt,,20251010-015,
10/10/2025,Chi,Chi phí nguyên vật liệu,Nhận 1 thùng bt A Tới phú quý gửi tối 10/10,100.000,Trang,Khác,Khác,Tiền mặt,,20251010-016,
10/10/2025,Chi,Vận chuyển,Gửi 1 thùng cho Baba PQ,250.000,Trang,Khác,Khác,Tiền mặt,,20251010-017,
10/10/2025,Thu,Doanh thu Bán hàng,MEAT FARM chuyen tien công nợ,47.948.760,Trang,CT TNHH MEAT FARM,NPP,TCB CTY,,20251010-018,
10/10/2025,Thu,Doanh thu Bán hàng,NAGI-ECO-HD1039 công nợ,539.700,Trang,NH NAGI 2 - GÒ VẤP,NH,TCB CTY,,20251010-019,
10/10/2025,Thu,Doanh thu Bán hàng,CONG TY TNHH SANMARU chuyen tien công nợ,2.782.750,Trang,CT TNHH SANMARU (MR NGỌC- HN),NH,TCB CTY,,20251010-020,
10/10/2025,Thu,Doanh thu Bán hàng,GOLDEN FINE FOODS công nợ,2.828.000,Trang,CT TNHH GOLDEN FINE FOODS,NH,TCB CTY,,20251010-021,
10/10/2025,Chi,Chi phí Sản xuất chung,thanh toan hd 1124 cho cty Ngoc Hong,2.351.700,Trang,Khác,Khác,TCB CTY,,20251010-022,
10/10/2025,Thu,Doanh thu Bán hàng,Nagi thanh toán tiền vận chuyển (công nợ),50.000,Trang,NH NAGI 2 - GÒ VẤP,NH,TK Dung,,20251010-023,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Mực Nang sushi Sashimi đông khay (200g/ khay),1.200.000,Trang,"MR DUY - VĂN CAO, HN",KL,TK KN,,20251010-024,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc tako + Tuna Saku A + Mực Ống,2.037.000,Trang,MR HẢI- HN,KL,TK KN,,20251010-025,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Tuna Saku XK,13.522.950,Trang,GOFOOD- HN,NH,TK KN,,20251010-026,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc tako + Bạch tuộc tako,16.683.840,Trang,CT MARUSEI - HN,NPP,TK KN,,20251010-027,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Bạch tuộc LSNC 30-50 + Vẹm Xanh Tách Vỏ ( PE),520.000,Trang,MS NGỢI - ECO,KL,TK KN,,20251010-028,
10/10/2025,KN,Doanh thu bán hàng,Giao hàng Mực Ống + Tuna Saku A + Bạch tuộc LSNC 30-50 + Ngao Bộp Tím nguyên con + Cá Cờ Kiếm Saku,1.625.000,Trang,NH UNI SUSHI,NH,TK KN,,20251010-029,
